"Y
References : ['P_Probe1.p','P_Probe2.p','P_Probe3.p','P_Probe4.p']
Dependency : [Y]
Num. Points : [11]
Matrix Size : scalar
Type : Real","X
References : ['P_Probe1.p','P_Probe2.p','P_Probe3.p','P_Probe4.p']
Dependency : [Y,X]
Num. Points : [11,360]
Matrix Size : scalar
Type : Real","freq
References : ['P_Probe1.p','P_Probe2.p','P_Probe3.p','P_Probe4.p']
Dependency : [Y,X,freq]
Num. Points : [11,360,1]
Matrix Size : scalar
Type : Real","P_Probe1.p
References : []
Dependency : [Y,X,freq]
Num. Points : [11,360,1]
Matrix Size : scalar
Type : Real","P_Probe2.p
References : []
Dependency : [Y,X,freq]
Num. Points : [11,360,1]
Matrix Size : scalar
Type : Real","P_Probe3.p
References : []
Dependency : [Y,X,freq]
Num. Points : [11,360,1]
Matrix Size : scalar
Type : Real","P_Probe4.p
References : []
Dependency : [Y,X,freq]
Num. Points : [11,360,1]
Matrix Size : scalar
Type : Real","Y
References : []
Dependency : [Y]
Num. Points : [11]
Matrix Size : scalar
Type : Real","X
References : []
Dependency : [Y,X]
Num. Points : [11,360]
Matrix Size : scalar
Type : Real"
0.000,1.000,120.0 MHz,0.001,0.001,4.839e-4,5.891e-4,0.000,1.000
0.000,2.000,120.0 MHz,0.001,0.001,4.839e-4,5.891e-4,0.110,2.000
0.000,3.000,120.0 MHz,0.001,0.001,4.839e-4,5.891e-4,0.220,3.000
0.000,4.000,120.0 MHz,0.001,0.001,4.839e-4,5.891e-4,0.330,4.000
0.000,5.000,120.0 MHz,0.001,0.001,4.839e-4,5.891e-4,0.440,5.000
0.000,6.000,120.0 MHz,0.001,0.001,4.839e-4,5.891e-4,0.550,6.000
0.000,7.000,120.0 MHz,0.001,0.001,4.839e-4,5.891e-4,0.660,7.000
0.000,8.000,120.0 MHz,0.001,0.001,4.839e-4,5.891e-4,0.770,8.000
0.000,9.000,120.0 MHz,0.001,0.001,4.839e-4,5.891e-4,0.880,9.000
0.000,10.000,120.0 MHz,0.001,0.001,4.839e-4,5.891e-4,0.990,10.000
0.000,11.000,120.0 MHz,0.001,0.001,4.839e-4,5.891e-4,1.100,11.000
0.000,12.000,120.0 MHz,0.001,0.001,4.839e-4,5.891e-4,,12.000
0.000,13.000,120.0 MHz,0.001,0.001,4.839e-4,5.891e-4,,13.000
0.000,14.000,120.0 MHz,0.001,0.001,4.839e-4,5.891e-4,,14.000
0.000,15.000,120.0 MHz,0.001,0.001,4.839e-4,5.891e-4,,15.000
0.000,16.000,120.0 MHz,0.001,0.001,4.839e-4,5.891e-4,,16.000
0.000,17.000,120.0 MHz,0.001,0.001,4.839e-4,5.891e-4,,17.000
0.000,18.000,120.0 MHz,0.001,0.001,4.839e-4,5.891e-4,,18.000
0.000,19.000,120.0 MHz,0.001,0.001,4.839e-4,5.891e-4,,19.000
0.000,20.000,120.0 MHz,0.001,0.001,4.839e-4,5.891e-4,,20.000
0.000,21.000,120.0 MHz,0.001,0.001,4.839e-4,5.891e-4,,21.000
0.000,22.000,120.0 MHz,0.001,0.001,4.839e-4,5.891e-4,,22.000
0.000,23.000,120.0 MHz,0.001,0.001,4.839e-4,5.891e-4,,23.000
0.000,24.000,120.0 MHz,0.001,0.001,4.839e-4,5.891e-4,,24.000
0.000,25.000,120.0 MHz,0.001,0.001,4.839e-4,5.891e-4,,25.000
0.000,26.000,120.0 MHz,0.001,0.001,4.839e-4,5.891e-4,,26.000
0.000,27.000,120.0 MHz,0.001,0.001,4.839e-4,5.891e-4,,27.000
0.000,28.000,120.0 MHz,0.001,0.001,4.839e-4,5.891e-4,,28.000
0.000,29.000,120.0 MHz,0.001,0.001,4.839e-4,5.891e-4,,29.000
0.000,30.000,120.0 MHz,0.001,0.001,4.839e-4,5.891e-4,,30.000
0.000,31.000,120.0 MHz,0.001,0.001,4.839e-4,5.891e-4,,31.000
0.000,32.000,120.0 MHz,0.001,0.001,4.839e-4,5.891e-4,,32.000
0.000,33.000,120.0 MHz,0.001,0.001,4.839e-4,5.891e-4,,33.000
0.000,34.000,120.0 MHz,0.001,0.001,4.839e-4,5.891e-4,,34.000
0.000,35.000,120.0 MHz,0.001,0.001,4.839e-4,5.891e-4,,35.000
0.000,36.000,120.0 MHz,0.001,0.001,4.839e-4,5.891e-4,,36.000
0.000,37.000,120.0 MHz,0.001,0.001,4.839e-4,5.891e-4,,37.000
0.000,38.000,120.0 MHz,0.001,0.001,4.839e-4,5.891e-4,,38.000
0.000,39.000,120.0 MHz,0.001,0.001,4.839e-4,5.891e-4,,39.000
0.000,40.000,120.0 MHz,0.001,0.001,4.839e-4,5.891e-4,,40.000
0.000,41.000,120.0 MHz,0.001,0.001,4.839e-4,5.891e-4,,41.000
0.000,42.000,120.0 MHz,0.001,0.001,4.839e-4,5.891e-4,,42.000
0.000,43.000,120.0 MHz,0.001,0.001,4.839e-4,5.891e-4,,43.000
0.000,44.000,120.0 MHz,0.001,0.001,4.839e-4,5.891e-4,,44.000
0.000,45.000,120.0 MHz,0.001,0.001,4.839e-4,5.891e-4,,45.000
0.000,46.000,120.0 MHz,0.001,0.001,4.839e-4,5.891e-4,,46.000
0.000,47.000,120.0 MHz,0.001,0.001,4.839e-4,5.891e-4,,47.000
0.000,48.000,120.0 MHz,0.001,0.001,4.839e-4,5.891e-4,,48.000
0.000,49.000,120.0 MHz,0.001,0.001,4.839e-4,5.891e-4,,49.000
0.000,50.000,120.0 MHz,0.001,0.001,4.839e-4,5.891e-4,,50.000
0.000,51.000,120.0 MHz,0.001,0.001,4.839e-4,5.891e-4,,51.000
0.000,52.000,120.0 MHz,0.001,0.001,4.839e-4,5.891e-4,,52.000
0.000,53.000,120.0 MHz,0.001,0.001,4.839e-4,5.891e-4,,53.000
0.000,54.000,120.0 MHz,0.001,0.001,4.839e-4,5.891e-4,,54.000
0.000,55.000,120.0 MHz,0.001,0.001,4.839e-4,5.891e-4,,55.000
0.000,56.000,120.0 MHz,0.001,0.001,4.839e-4,5.891e-4,,56.000
0.000,57.000,120.0 MHz,0.001,0.001,4.839e-4,5.891e-4,,57.000
0.000,58.000,120.0 MHz,0.001,0.001,4.839e-4,5.891e-4,,58.000
0.000,59.000,120.0 MHz,0.001,0.001,4.839e-4,5.891e-4,,59.000
0.000,60.000,120.0 MHz,0.001,0.001,4.839e-4,5.891e-4,,60.000
