"X
References : []
Dependency : [Y,X]
Num. Points : [51,360]
Matrix Size : scalar
Type : Real","Y
References : []
Dependency : [Y]
Num. Points : [51]
Matrix Size : scalar
Type : Real","Y
References : ['P_Probe1.p','P_Probe2.p','P_Probe3.p','P_Probe4.p']
Dependency : [Y]
Num. Points : [51]
Matrix Size : scalar
Type : Real","X
References : ['P_Probe1.p','P_Probe2.p','P_Probe3.p','P_Probe4.p']
Dependency : [Y,X]
Num. Points : [51,360]
Matrix Size : scalar
Type : Real","freq
References : ['P_Probe1.p','P_Probe2.p','P_Probe3.p','P_Probe4.p']
Dependency : [Y,X,freq]
Num. Points : [51,360,1]
Matrix Size : scalar
Type : Real","P_Probe1.p
References : []
Dependency : [Y,X,freq]
Num. Points : [51,360,1]
Matrix Size : scalar
Type : Real","P_Probe2.p
References : []
Dependency : [Y,X,freq]
Num. Points : [51,360,1]
Matrix Size : scalar
Type : Real","P_Probe3.p
References : []
Dependency : [Y,X,freq]
Num. Points : [51,360,1]
Matrix Size : scalar
Type : Real","P_Probe4.p
References : []
Dependency : [Y,X,freq]
Num. Points : [51,360,1]
Matrix Size : scalar
Type : Real"
1.000,0.000,0.000,1.000,120.0 MHz,0.001,0.001,4.839E-4,5.891E-4
2.000,0.100,0.000,2.000,120.0 MHz,0.001,0.001,4.839E-4,5.891E-4
3.000,0.200,0.000,3.000,120.0 MHz,0.001,0.001,4.839E-4,5.891E-4
4.000,0.300,0.000,4.000,120.0 MHz,0.001,0.001,4.839E-4,5.891E-4
5.000,0.400,0.000,5.000,120.0 MHz,0.001,0.001,4.839E-4,5.891E-4
6.000,0.500,0.000,6.000,120.0 MHz,0.001,0.001,4.839E-4,5.891E-4
7.000,0.600,0.000,7.000,120.0 MHz,0.001,0.001,4.839E-4,5.891E-4
8.000,0.700,0.000,8.000,120.0 MHz,0.001,0.001,4.839E-4,5.891E-4
9.000,0.800,0.000,9.000,120.0 MHz,0.001,0.001,4.839E-4,5.891E-4
10.000,0.900,0.000,10.000,120.0 MHz,0.001,0.001,4.839E-4,5.891E-4
11.000,1.000,0.000,11.000,120.0 MHz,0.001,0.001,4.839E-4,5.891E-4
12.000,1.100,0.000,12.000,120.0 MHz,0.001,0.001,4.839E-4,5.891E-4
13.000,1.200,0.000,13.000,120.0 MHz,0.001,0.001,4.839E-4,5.891E-4
14.000,1.300,0.000,14.000,120.0 MHz,0.001,0.001,4.839E-4,5.891E-4
15.000,1.400,0.000,15.000,120.0 MHz,0.001,0.001,4.839E-4,5.891E-4
16.000,1.500,0.000,16.000,120.0 MHz,0.001,0.001,4.839E-4,5.891E-4
17.000,1.600,0.000,17.000,120.0 MHz,0.001,0.001,4.839E-4,5.891E-4
18.000,1.700,0.000,18.000,120.0 MHz,0.001,0.001,4.839E-4,5.891E-4
19.000,1.800,0.000,19.000,120.0 MHz,0.001,0.001,4.839E-4,5.891E-4
20.000,1.900,0.000,20.000,120.0 MHz,0.001,0.001,4.839E-4,5.891E-4
21.000,2.000,0.000,21.000,120.0 MHz,0.001,0.001,4.839E-4,5.891E-4
22.000,2.100,0.000,22.000,120.0 MHz,0.001,0.001,4.839E-4,5.891E-4
23.000,2.200,0.000,23.000,120.0 MHz,0.001,0.001,4.839E-4,5.891E-4
24.000,2.300,0.000,24.000,120.0 MHz,0.001,0.001,4.839E-4,5.891E-4
25.000,2.400,0.000,25.000,120.0 MHz,0.001,0.001,4.839E-4,5.891E-4
26.000,2.500,0.000,26.000,120.0 MHz,0.001,0.001,4.839E-4,5.891E-4
27.000,2.600,0.000,27.000,120.0 MHz,0.001,0.001,4.839E-4,5.891E-4
28.000,2.700,0.000,28.000,120.0 MHz,0.001,0.001,4.839E-4,5.891E-4
29.000,2.800,0.000,29.000,120.0 MHz,0.001,0.001,4.839E-4,5.891E-4
30.000,2.900,0.000,30.000,120.0 MHz,0.001,0.001,4.839E-4,5.891E-4
31.000,3.000,0.000,31.000,120.0 MHz,0.001,0.001,4.839E-4,5.891E-4
32.000,3.100,0.000,32.000,120.0 MHz,0.001,0.001,4.839E-4,5.891E-4
33.000,3.200,0.000,33.000,120.0 MHz,0.001,0.001,4.839E-4,5.891E-4
34.000,3.300,0.000,34.000,120.0 MHz,0.001,0.001,4.839E-4,5.891E-4
35.000,3.400,0.000,35.000,120.0 MHz,0.001,0.001,4.839E-4,5.891E-4
36.000,3.500,0.000,36.000,120.0 MHz,0.001,0.001,4.839E-4,5.891E-4
37.000,3.600,0.000,37.000,120.0 MHz,0.001,0.001,4.839E-4,5.891E-4
38.000,3.700,0.000,38.000,120.0 MHz,0.001,0.001,4.839E-4,5.891E-4
39.000,3.800,0.000,39.000,120.0 MHz,0.001,0.001,4.839E-4,5.891E-4
40.000,3.900,0.000,40.000,120.0 MHz,0.001,0.001,4.839E-4,5.891E-4
41.000,4.000,0.000,41.000,120.0 MHz,0.001,0.001,4.839E-4,5.891E-4
42.000,4.100,0.000,42.000,120.0 MHz,0.001,0.001,4.839E-4,5.891E-4
43.000,4.200,0.000,43.000,120.0 MHz,0.001,0.001,4.839E-4,5.891E-4
44.000,4.300,0.000,44.000,120.0 MHz,0.001,0.001,4.839E-4,5.891E-4
45.000,4.400,0.000,45.000,120.0 MHz,0.001,0.001,4.839E-4,5.891E-4
46.000,4.500,0.000,46.000,120.0 MHz,0.001,0.001,4.839E-4,5.891E-4
47.000,4.600,0.000,47.000,120.0 MHz,0.001,0.001,4.839E-4,5.891E-4
48.000,4.700,0.000,48.000,120.0 MHz,0.001,0.001,4.839E-4,5.891E-4
49.000,4.800,0.000,49.000,120.0 MHz,0.001,0.001,4.839E-4,5.891E-4
50.000,4.900,0.000,50.000,120.0 MHz,0.001,0.001,4.839E-4,5.891E-4
51.000,5.000,0.000,51.000,120.0 MHz,0.001,0.001,4.839E-4,5.891E-4
52.000,,0.000,52.000,120.0 MHz,0.001,0.001,4.839E-4,5.891E-4
53.000,,0.000,53.000,120.0 MHz,0.001,0.001,4.839E-4,5.891E-4
54.000,,0.000,54.000,120.0 MHz,0.001,0.001,4.839E-4,5.891E-4
55.000,,0.000,55.000,120.0 MHz,0.001,0.001,4.839E-4,5.891E-4
56.000,,0.000,56.000,120.0 MHz,0.001,0.001,4.839E-4,5.891E-4
57.000,,0.000,57.000,120.0 MHz,0.001,0.001,4.839E-4,5.891E-4
58.000,,0.000,58.000,120.0 MHz,0.001,0.001,4.839E-4,5.891E-4
59.000,,0.000,59.000,120.0 MHz,0.001,0.001,4.839E-4,5.891E-4
60.000,,0.000,60.000,120.0 MHz,0.001,0.001,4.839E-4,5.891E-4
61.000,,0.000,61.000,120.0 MHz,0.001,0.001,4.839E-4,5.891E-4
62.000,,0.000,62.000,120.0 MHz,0.001,0.001,4.839E-4,5.891E-4
63.000,,0.000,63.000,120.0 MHz,0.001,0.001,4.839E-4,5.891E-4
64.000,,0.000,64.000,120.0 MHz,0.001,0.001,4.839E-4,5.891E-4
65.000,,0.000,65.000,120.0 MHz,0.001,0.001,4.839E-4,5.891E-4
66.000,,0.000,66.000,120.0 MHz,0.001,0.001,4.839E-4,5.891E-4
67.000,,0.000,67.000,120.0 MHz,0.001,0.001,4.839E-4,5.891E-4
68.000,,0.000,68.000,120.0 MHz,0.001,0.001,4.839E-4,5.891E-4
69.000,,0.000,69.000,120.0 MHz,0.001,0.001,4.839E-4,5.891E-4
70.000,,0.000,70.000,120.0 MHz,0.001,0.001,4.839E-4,5.891E-4
71.000,,0.000,71.000,120.0 MHz,0.001,0.001,4.839E-4,5.891E-4
72.000,,0.000,72.000,120.0 MHz,0.001,0.001,4.839E-4,5.891E-4
73.000,,0.000,73.000,120.0 MHz,0.001,0.001,4.839E-4,5.891E-4
74.000,,0.000,74.000,120.0 MHz,0.001,0.001,4.839E-4,5.891E-4
75.000,,0.000,75.000,120.0 MHz,0.001,0.001,4.839E-4,5.891E-4
76.000,,0.000,76.000,120.0 MHz,0.001,0.001,4.839E-4,5.891E-4
77.000,,0.000,77.000,120.0 MHz,0.001,0.001,4.839E-4,5.891E-4
78.000,,0.000,78.000,120.0 MHz,0.001,0.001,4.839E-4,5.891E-4
