Y	X	point[0][0, ::]
0.00000000000000000e0	1.00000000000000000e0	1.13406796830673470e-1 / -6.77675753151132640e1
0.00000000000000000e0	2.00000000000000000e0	1.13406796830673470e-1 / -6.77675753151132640e1
0.00000000000000000e0	3.00000000000000000e0	1.13406796830673470e-1 / -6.77675753151132640e1
0.00000000000000000e0	4.00000000000000000e0	1.13406796830673470e-1 / -6.77675753151132640e1
0.00000000000000000e0	5.00000000000000000e0	1.13406796830673470e-1 / -6.77675753151132640e1
0.00000000000000000e0	6.00000000000000000e0	1.13406796830673470e-1 / -6.77675753151132640e1
0.00000000000000000e0	7.00000000000000000e0	1.13406796830673470e-1 / -6.77675753151132640e1
0.00000000000000000e0	8.00000000000000000e0	1.13406796830673470e-1 / -6.77675753151132640e1
0.00000000000000000e0	9.00000000000000000e0	1.13406796830673470e-1 / -6.77675753151132640e1
0.00000000000000000e0	1.00000000000000000e1	1.13406796830673470e-1 / -6.77675753151132640e1
0.00000000000000000e0	1.10000000000000010e1	1.13406796830673470e-1 / -6.77675753151132640e1
0.00000000000000000e0	1.20000000000000000e1	1.13406796830673470e-1 / -6.77675753151132640e1
0.00000000000000000e0	1.30000000000000000e1	1.13406796830673470e-1 / -6.77675753151132640e1
0.00000000000000000e0	1.39999999999999990e1	1.13406796830673470e-1 / -6.77675753151132640e1
0.00000000000000000e0	1.50000000000000000e1	1.13406796830673470e-1 / -6.77675753151132640e1
0.00000000000000000e0	1.60000000000000010e1	1.13406796830673470e-1 / -6.77675753151132640e1
0.00000000000000000e0	1.70000000000000000e1	1.13406796830673470e-1 / -6.77675753151132640e1
0.00000000000000000e0	1.80000000000000000e1	1.13406796830673470e-1 / -6.77675753151132640e1
0.00000000000000000e0	1.89999999999999990e1	1.13406796830673470e-1 / -6.77675753151132640e1
0.00000000000000000e0	2.00000000000000000e1	1.13406796830673470e-1 / -6.77675753151132640e1
0.00000000000000000e0	2.10000000000000010e1	1.13406796830673470e-1 / -6.77675753151132640e1
0.00000000000000000e0	2.20000000000000020e1	1.13406796830673470e-1 / -6.77675753151132640e1
0.00000000000000000e0	2.29999999999999980e1	1.13406796830673470e-1 / -6.77675753151132640e1
0.00000000000000000e0	2.39999999999999990e1	1.13406796830673470e-1 / -6.77675753151132640e1
0.00000000000000000e0	2.50000000000000000e1	1.13406796830673470e-1 / -6.77675753151132640e1
0.00000000000000000e0	2.60000000000000010e1	1.13406796830673470e-1 / -6.77675753151132640e1
0.00000000000000000e0	2.70000000000000020e1	1.13406796830673470e-1 / -6.77675753151132640e1
0.00000000000000000e0	2.79999999999999980e1	1.13406796830673470e-1 / -6.77675753151132640e1
0.00000000000000000e0	2.89999999999999990e1	1.13406796830673470e-1 / -6.77675753151132640e1
0.00000000000000000e0	3.00000000000000000e1	1.13406796830673470e-1 / -6.77675753151132640e1
0.00000000000000000e0	3.10000000000000010e1	1.13406796830673470e-1 / -6.77675753151132640e1
0.00000000000000000e0	3.20000000000000020e1	1.13406796830673470e-1 / -6.77675753151132640e1
0.00000000000000000e0	3.29999999999999980e1	1.13406796830673470e-1 / -6.77675753151132640e1
0.00000000000000000e0	3.39999999999999990e1	1.13406796830673470e-1 / -6.77675753151132640e1
0.00000000000000000e0	3.50000000000000000e1	1.13406796830673470e-1 / -6.77675753151132640e1
0.00000000000000000e0	3.60000000000000010e1	1.13406796830673470e-1 / -6.77675753151132640e1
0.00000000000000000e0	3.70000000000000020e1	1.13406796830673470e-1 / -6.77675753151132640e1
0.00000000000000000e0	3.79999999999999980e1	1.13406796830673470e-1 / -6.77675753151132640e1
0.00000000000000000e0	3.89999999999999990e1	1.13406796830673470e-1 / -6.77675753151132640e1
0.00000000000000000e0	4.00000000000000000e1	1.13406796830673470e-1 / -6.77675753151132640e1
0.00000000000000000e0	4.09999999999999960e1	1.13406796830673470e-1 / -6.77675753151132640e1
0.00000000000000000e0	4.20000000000000020e1	1.13406796830673470e-1 / -6.77675753151132640e1
0.00000000000000000e0	4.29999999999999980e1	1.13406796830673470e-1 / -6.77675753151132640e1
0.00000000000000000e0	4.40000000000000040e1	1.13406796830673470e-1 / -6.77675753151132640e1
0.00000000000000000e0	4.50000000000000000e1	1.13406796830673470e-1 / -6.77675753151132640e1
0.00000000000000000e0	4.59999999999999960e1	1.13406796830673470e-1 / -6.77675753151132640e1
0.00000000000000000e0	4.70000000000000020e1	1.13406796830673470e-1 / -6.77675753151132640e1
0.00000000000000000e0	4.79999999999999980e1	1.13406796830673470e-1 / -6.77675753151132640e1
0.00000000000000000e0	4.90000000000000040e1	1.13406796830673470e-1 / -6.77675753151132640e1
0.00000000000000000e0	5.00000000000000000e1	1.13406796830673470e-1 / -6.77675753151132640e1
0.00000000000000000e0	5.09999999999999960e1	1.13406796830673470e-1 / -6.77675753151132640e1
0.00000000000000000e0	5.20000000000000020e1	1.13406796830673470e-1 / -6.77675753151132640e1
0.00000000000000000e0	5.29999999999999980e1	1.13406796830673470e-1 / -6.77675753151132640e1
0.00000000000000000e0	5.40000000000000040e1	1.13406796830673470e-1 / -6.77675753151132640e1
0.00000000000000000e0	5.50000000000000000e1	1.13406796830673470e-1 / -6.77675753151132640e1
0.00000000000000000e0	5.59999999999999960e1	1.13406796830673470e-1 / -6.77675753151132640e1
0.00000000000000000e0	5.70000000000000020e1	1.13406796830673470e-1 / -6.77675753151132640e1
0.00000000000000000e0	5.79999999999999980e1	1.13406796830673470e-1 / -6.77675753151132640e1
0.00000000000000000e0	5.90000000000000040e1	1.13406796830673470e-1 / -6.77675753151132640e1
0.00000000000000000e0	6.00000000000000000e1	1.13406796830673470e-1 / -6.77675753151132640e1
0.00000000000000000e0	6.09999999999999960e1	1.13406796830673470e-1 / -6.77675753151132640e1
0.00000000000000000e0	6.20000000000000020e1	1.13406796830673470e-1 / -6.77675753151132640e1
0.00000000000000000e0	6.29999999999999980e1	1.13406796830673470e-1 / -6.77675753151132640e1
0.00000000000000000e0	6.40000000000000040e1	1.13406796830673470e-1 / -6.77675753151132640e1
0.00000000000000000e0	6.50000000000000000e1	1.13406796830673470e-1 / -6.77675753151132640e1
0.00000000000000000e0	6.59999999999999960e1	1.13406796830673470e-1 / -6.77675753151132640e1
0.00000000000000000e0	6.70000000000000020e1	1.13406796830673470e-1 / -6.77675753151132640e1
0.00000000000000000e0	6.79999999999999980e1	1.13406796830673470e-1 / -6.77675753151132640e1
0.00000000000000000e0	6.90000000000000040e1	1.13406796830673470e-1 / -6.77675753151132640e1
0.00000000000000000e0	7.00000000000000000e1	1.13406796830673470e-1 / -6.77675753151132640e1
0.00000000000000000e0	7.09999999999999960e1	1.13406796830673470e-1 / -6.77675753151132640e1
0.00000000000000000e0	7.20000000000000020e1	1.13406796830673470e-1 / -6.77675753151132640e1
0.00000000000000000e0	7.29999999999999980e1	1.13406796830673470e-1 / -6.77675753151132640e1
0.00000000000000000e0	7.40000000000000040e1	1.13406796830673470e-1 / -6.77675753151132640e1
0.00000000000000000e0	7.50000000000000000e1	1.13406796830673470e-1 / -6.77675753151132640e1
0.00000000000000000e0	7.59999999999999960e1	1.13406796830673470e-1 / -6.77675753151132640e1
0.00000000000000000e0	7.70000000000000020e1	1.13406796830673470e-1 / -6.77675753151132640e1
0.00000000000000000e0	7.79999999999999980e1	1.13406796830673470e-1 / -6.77675753151132640e1
0.00000000000000000e0	7.90000000000000040e1	1.13406796830673470e-1 / -6.77675753151132640e1
0.00000000000000000e0	8.00000000000000000e1	1.13406796830673470e-1 / -6.77675753151132640e1
0.00000000000000000e0	8.09999999999999960e1	1.13406796830673470e-1 / -6.77675753151132640e1
0.00000000000000000e0	8.19999999999999930e1	1.13406796830673470e-1 / -6.77675753151132640e1
