	pointcc
0	8.61731978554866450E-1 / 1.19863310294410550E2


	pointch
0	1.13406796830673470E-1 / -6.77675753151132640E1


	pointco
0	1.05296066214500410E0 / -6.30437115158311730E1


Y	X	pointCor[0][0, ::]
0.00000000000000000E0	1.00000000000000000E0	0.00000000000000000E0 / 0.00000000000000000E0
0.00000000000000000E0	2.00000000000000000E0	0.00000000000000000E0 / 0.00000000000000000E0
0.00000000000000000E0	3.00000000000000000E0	0.00000000000000000E0 / 0.00000000000000000E0
0.00000000000000000E0	4.00000000000000000E0	0.00000000000000000E0 / 0.00000000000000000E0
0.00000000000000000E0	5.00000000000000000E0	0.00000000000000000E0 / 0.00000000000000000E0
0.00000000000000000E0	6.00000000000000000E0	0.00000000000000000E0 / 0.00000000000000000E0
0.00000000000000000E0	7.00000000000000000E0	0.00000000000000000E0 / 0.00000000000000000E0
0.00000000000000000E0	8.00000000000000000E0	0.00000000000000000E0 / 0.00000000000000000E0
0.00000000000000000E0	9.00000000000000000E0	0.00000000000000000E0 / 0.00000000000000000E0
0.00000000000000000E0	1.00000000000000000E1	0.00000000000000000E0 / 0.00000000000000000E0
0.00000000000000000E0	1.10000000000000010E1	0.00000000000000000E0 / 0.00000000000000000E0
0.00000000000000000E0	1.20000000000000000E1	0.00000000000000000E0 / 0.00000000000000000E0
0.00000000000000000E0	1.30000000000000000E1	0.00000000000000000E0 / 0.00000000000000000E0
0.00000000000000000E0	1.39999999999999990E1	0.00000000000000000E0 / 0.00000000000000000E0
0.00000000000000000E0	1.50000000000000000E1	0.00000000000000000E0 / 0.00000000000000000E0
0.00000000000000000E0	1.60000000000000010E1	0.00000000000000000E0 / 0.00000000000000000E0
0.00000000000000000E0	1.70000000000000000E1	0.00000000000000000E0 / 0.00000000000000000E0
0.00000000000000000E0	1.80000000000000000E1	0.00000000000000000E0 / 0.00000000000000000E0
0.00000000000000000E0	1.89999999999999990E1	0.00000000000000000E0 / 0.00000000000000000E0
0.00000000000000000E0	2.00000000000000000E1	0.00000000000000000E0 / 0.00000000000000000E0
